dataset,model,fold,size,split,f1,recall
cleveland,logistic_regression,6,121,val,0.7857142857142857,0.7857142857142857
cleveland,random_forest,6,145,train,0.9924812030075187,1.0
cleveland,random_forest,6,145,val,0.7692307692307693,0.7142857142857143
cleveland,logistic_regression,6,145,train,0.8923076923076924,0.8787878787878788
cleveland,logistic_regression,6,145,val,0.8148148148148148,0.7857142857142857
cleveland,random_forest,6,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,6,169,val,0.7692307692307693,0.7142857142857143
cleveland,logistic_regression,6,169,train,0.8741721854304636,0.8571428571428571
cleveland,logistic_regression,6,169,val,0.7857142857142857,0.7857142857142857
cleveland,random_forest,6,193,train,0.9885057471264368,0.9772727272727273
cleveland,random_forest,6,193,val,0.8148148148148148,0.7857142857142857
cleveland,logistic_regression,6,193,train,0.8705882352941177,0.8409090909090909
cleveland,logistic_regression,6,193,val,0.8070175438596491,0.8214285714285714
cleveland,random_forest,6,217,train,0.9797979797979798,0.9797979797979798
cleveland,random_forest,6,217,val,0.7636363636363637,0.75
cleveland,logistic_regression,6,217,train,0.8704663212435233,0.8484848484848485
cleveland,logistic_regression,6,217,val,0.8363636363636363,0.8214285714285714
cleveland,random_forest,6,242,train,0.9818181818181818,0.9818181818181818
cleveland,random_forest,6,242,val,0.7924528301886793,0.75
cleveland,logistic_regression,6,242,train,0.8544600938967136,0.8272727272727273
cleveland,logistic_regression,6,242,val,0.8235294117647058,0.75
cleveland,random_forest,7,24,train,1.0,1.0
cleveland,random_forest,7,24,val,0.8148148148148148,0.7857142857142857
cleveland,logistic_regression,7,24,train,1.0,1.0
cleveland,logistic_regression,7,24,val,0.8070175438596491,0.8214285714285714
cleveland,random_forest,7,48,train,1.0,1.0
cleveland,random_forest,7,48,val,0.8148148148148148,0.7857142857142857
cleveland,logistic_regression,7,48,train,0.9090909090909091,0.9090909090909091
cleveland,logistic_regression,7,48,val,0.8518518518518519,0.8214285714285714
cleveland,random_forest,7,72,train,1.0,1.0
cleveland,random_forest,7,72,val,0.7924528301886793,0.75
cleveland,logistic_regression,7,72,train,0.9206349206349206,0.8787878787878788
cleveland,logistic_regression,7,72,val,0.8301886792452831,0.7857142857142857
cleveland,random_forest,7,96,train,0.9885057471264368,0.9772727272727273
cleveland,random_forest,7,96,val,0.8679245283018868,0.8214285714285714
cleveland,logistic_regression,7,96,train,0.9213483146067416,0.9318181818181818
cleveland,logistic_regression,7,96,val,0.8148148148148148,0.7857142857142857
cleveland,random_forest,7,121,train,0.9908256880733946,0.9818181818181818
cleveland,random_forest,7,121,val,0.8679245283018868,0.8214285714285714
cleveland,logistic_regression,7,121,train,0.9174311926605505,0.9090909090909091
cleveland,logistic_regression,7,121,val,0.8148148148148148,0.7857142857142857
cleveland,random_forest,7,145,train,0.9846153846153847,0.9696969696969697
